REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2012/2013,New Brunswick,Remand,Indigenous identity unknown,0
2012/2013,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",390
2012/2013,New Brunswick,Other custodial statuses,Indigenous identity,32
2012/2013,New Brunswick,Other custodial statuses,Non-Indigenous identity,358
2012/2013,New Brunswick,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",42720
2012/2013,Quebec,"Total, custodial admissions",Indigenous identity,1825
2012/2013,Quebec,"Total, custodial admissions",Non-Indigenous identity,40895
2012/2013,Quebec,"Total, custodial admissions",Indigenous identity unknown,0
2012/2013,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",8416
2012/2013,Quebec,Sentenced,Indigenous identity,245
2012/2013,Quebec,Sentenced,Non-Indigenous identity,8171
2012/2013,Quebec,Sentenced,Indigenous identity unknown,0
2012/2013,Quebec,Remand,"Total, custodial admissions by Indigenous identity",30989
2012/2013,Quebec,Remand,Indigenous identity,1550
2012/2013,Quebec,Remand,Non-Indigenous identity,29439
2012/2013,Quebec,Remand,Indigenous identity unknown,0
2012/2013,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3315
2012/2013,Quebec,Other custodial statuses,Indigenous identity,30
2012/2013,Quebec,Other custodial statuses,Non-Indigenous identity,3285
2012/2013,Quebec,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",88331
2012/2013,Ontario,"Total, custodial admissions",Indigenous identity,11041
2012/2013,Ontario,"Total, custodial admissions",Non-Indigenous identity,77290
2012/2013,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2012/2013,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",30349
2012/2013,Ontario,Sentenced,Indigenous identity,3772
2012/2013,Ontario,Sentenced,Non-Indigenous identity,26577
2012/2013,Ontario,Sentenced,Indigenous identity unknown,0
2012/2013,Ontario,Remand,"Total, custodial admissions by Indigenous identity",52744
2012/2013,Ontario,Remand,Indigenous identity,6956
2012/2013,Ontario,Remand,Non-Indigenous identity,45788
2012/2013,Ontario,Remand,Indigenous identity unknown,0
2012/2013,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",5238
2012/2013,Ontario,Other custodial statuses,Indigenous identity,313
2012/2013,Ontario,Other custodial statuses,Non-Indigenous identity,4925
2012/2013,Ontario,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",27376
2012/2013,Manitoba,"Total, custodial admissions",Indigenous identity,19985
2012/2013,Manitoba,"Total, custodial admissions",Non-Indigenous identity,7391
2012/2013,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2012/2013,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",6220
2012/2013,Manitoba,Sentenced,Indigenous identity,4732
2012/2013,Manitoba,Sentenced,Non-Indigenous identity,1488
2012/2013,Manitoba,Sentenced,Indigenous identity unknown,0
2012/2013,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",13351
2012/2013,Manitoba,Remand,Indigenous identity,9932
2012/2013,Manitoba,Remand,Non-Indigenous identity,3419
2012/2013,Manitoba,Remand,Indigenous identity unknown,0
2012/2013,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",7805
2012/2013,Manitoba,Other custodial statuses,Indigenous identity,5321
2012/2013,Manitoba,Other custodial statuses,Non-Indigenous identity,2484
2012/2013,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",11340
2012/2013,Saskatchewan,"Total, custodial admissions",Indigenous identity,8540
2012/2013,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2497
2012/2013,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,303
2012/2013,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",4418
2012/2013,Saskatchewan,Sentenced,Indigenous identity,3367
2012/2013,Saskatchewan,Sentenced,Non-Indigenous identity,966
2012/2013,Saskatchewan,Sentenced,Indigenous identity unknown,85
2012/2013,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",6722
2012/2013,Saskatchewan,Remand,Indigenous identity,5058
2012/2013,Saskatchewan,Remand,Non-Indigenous identity,1456
2012/2013,Saskatchewan,Remand,Indigenous identity unknown,208
2012/2013,Saskatchewan,Other custodial statuses,"Total, custodial admissions by Indigenous identity",200
2012/2013,Saskatchewan,Other custodial statuses,Indigenous identity,115
2012/2013,Saskatchewan,Other custodial statuses,Non-Indigenous identity,75
2012/2013,Saskatchewan,Other custodial statuses,Indigenous identity unknown,10
2012/2013,Alberta,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",
2012/2013,Alberta,"Total, custodial admissions",Indigenous identity,
2012/2013,Alberta,"Total, custodial admissions",Non-Indigenous identity,
2012/2013,Alberta,"Total, custodial admissions",Indigenous identity unknown,
2012/2013,Alberta,Sentenced,"Total, custodial admissions by Indigenous identity",
2012/2013,Alberta,Sentenced,Indigenous identity,
2012/2013,Alberta,Sentenced,Non-Indigenous identity,
2012/2013,Alberta,Sentenced,Indigenous identity unknown,
2012/2013,Alberta,Remand,"Total, custodial admissions by Indigenous identity",
2012/2013,Alberta,Remand,Indigenous identity,
2012/2013,Alberta,Remand,Non-Indigenous identity,
2012/2013,Alberta,Remand,Indigenous identity unknown,
2012/2013,Alberta,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2012/2013,Alberta,Other custodial statuses,Indigenous identity,
2012/2013,Alberta,Other custodial statuses,Non-Indigenous identity,
2012/2013,Alberta,Other custodial statuses,Indigenous identity unknown,
2012/2013,British Columbia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",22611
2012/2013,British Columbia,"Total, custodial admissions",Indigenous identity,6740
2012/2013,British Columbia,"Total, custodial admissions",Non-Indigenous identity,15774
2012/2013,British Columbia,"Total, custodial admissions",Indigenous identity unknown,97
2012/2013,British Columbia,Sentenced,"Total, custodial admissions by Indigenous identity",8907
2012/2013,British Columbia,Sentenced,Indigenous identity,2937
2012/2013,British Columbia,Sentenced,Non-Indigenous identity,5946
2012/2013,British Columbia,Sentenced,Indigenous identity unknown,24
2012/2013,British Columbia,Remand,"Total, custodial admissions by Indigenous identity",12289
2012/2013,British Columbia,Remand,Indigenous identity,3551
2012/2013,British Columbia,Remand,Non-Indigenous identity,8687
2012/2013,British Columbia,Remand,Indigenous identity unknown,51
2012/2013,British Columbia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",1415
2012/2013,British Columbia,Other custodial statuses,Indigenous identity,252
2012/2013,British Columbia,Other custodial statuses,Non-Indigenous identity,1141
2012/2013,British Columbia,Other custodial statuses,Indigenous identity unknown,22
2012/2013,Yukon,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",807
2012/2013,Yukon,"Total, custodial admissions",Indigenous identity,566
2012/2013,Yukon,"Total, custodial admissions",Non-Indigenous identity,241
2012/2013,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2012/2013,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",272
2012/2013,Yukon,Sentenced,Indigenous identity,196
2012/2013,Yukon,Sentenced,Non-Indigenous identity,76
2012/2013,Yukon,Sentenced,Indigenous identity unknown,0
2012/2013,Yukon,Remand,"Total, custodial admissions by Indigenous identity",524
2012/2013,Yukon,Remand,Indigenous identity,367
2012/2013,Yukon,Remand,Non-Indigenous identity,157
2012/2013,Yukon,Remand,Indigenous identity unknown,0
2012/2013,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",11
2012/2013,Yukon,Other custodial statuses,Indigenous identity,3
2012/2013,Yukon,Other custodial statuses,Non-Indigenous identity,8
2012/2013,Yukon,Other custodial statuses,Indigenous identity unknown,0
2012/2013,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1043
2012/2013,Northwest Territories,"Total, custodial admissions",Indigenous identity,942
2012/2013,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,97
2012/2013,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,4
2012/2013,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",523
2012/2013,Northwest Territories,Sentenced,Indigenous identity,477
2012/2013,Northwest Territories,Sentenced,Non-Indigenous identity,45
2012/2013,Northwest Territories,Sentenced,Indigenous identity unknown,1
2012/2013,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",520
2012/2013,Northwest Territories,Remand,Indigenous identity,465
2012/2013,Northwest Territories,Remand,Non-Indigenous identity,52
2012/2013,Northwest Territories,Remand,Indigenous identity unknown,3
2012/2013,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2012/2013,Northwest Territories,Other custodial statuses,Indigenous identity,
2012/2013,Northwest Territories,Other custodial statuses,Non-Indigenous identity,
2012/2013,Northwest Territories,Other custodial statuses,Indigenous identity unknown,
2012/2013,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",868
2012/2013,Nunavut,"Total, custodial admissions",Indigenous identity,835
2012/2013,Nunavut,"Total, custodial admissions",Non-Indigenous identity,4
2012/2013,Nunavut,"Total, custodial admissions",Indigenous identity unknown,29
2012/2013,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",429
2012/2013,Nunavut,Sentenced,Indigenous identity,417
2012/2013,Nunavut,Sentenced,Non-Indigenous identity,1
2012/2013,Nunavut,Sentenced,Indigenous identity unknown,11
2012/2013,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",439
2012/2013,Nunavut,Remand,Indigenous identity,418
2012/2013,Nunavut,Remand,Non-Indigenous identity,3
2012/2013,Nunavut,Remand,Indigenous identity unknown,18
2013/2014,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",201099
2013/2014,All Provinces and territories,"Total, custodial admissions",Indigenous identity,51668
2013/2014,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,148897
2013/2014,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,534
2013/2014,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",64604
2013/2014,All Provinces and territories,Sentenced,Indigenous identity,16843
2013/2014,All Provinces and territories,Sentenced,Non-Indigenous identity,47563
2013/2014,All Provinces and territories,Sentenced,Indigenous identity unknown,198
2013/2014,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",118512
2013/2014,All Provinces and territories,Remand,Indigenous identity,28650
2013/2014,All Provinces and territories,Remand,Non-Indigenous identity,89566
2013/2014,All Provinces and territories,Remand,Indigenous identity unknown,296
2013/2014,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",17983
2013/2014,All Provinces and territories,Other custodial statuses,Indigenous identity,6175
2013/2014,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,11768
2013/2014,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,40
2013/2014,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1901
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,473
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1428
2013/2014,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2013/2014,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1085
2013/2014,Newfoundland and Labrador,Sentenced,Indigenous identity,252
2013/2014,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,833
2013/2014,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2013/2014,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",719
2013/2014,Newfoundland and Labrador,Remand,Indigenous identity,218
2013/2014,Newfoundland and Labrador,Remand,Non-Indigenous identity,501
2013/2014,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2013/2014,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",97
2013/2014,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,3
2013/2014,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,94
2013/2014,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2013/2014,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",779
2013/2014,Prince Edward Island,"Total, custodial admissions",Indigenous identity,23
2013/2014,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,755
2013/2014,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,1
2013/2014,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",562
